step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,1.80298,0.6,,,,
2,0.73151,0.81818,,,,
3,3.8883,0.46154,,,,
4,2.31738,0.53704,,,,
5,1.61515,0.73684,,,,
6,4.4248,0.5625,,,,
7,3.96895,0.57895,,,,
8,2.39064,0.77273,,,,
9,5.81625,0.42857,,,,
10,5.17934,0.53846,,,,
11,0.30835,0.90476,,,,
12,0.75334,0.86667,,,,
13,2.90254,0.6,,,,
14,3.08583,0.47059,,,,
15,2.65549,0.64286,,,,
16,2.36127,0.71429,,,,
17,0.97334,0.8,,,,
18,1.64171,0.78947,,,,
19,2.35239,0.61111,,,,
20,2.08657,0.64,,,,
21,2.01711,0.58537,,,,
22,1.8152,0.6129,,,,
23,1.89707,0.64865,,,,
24,1.81673,0.58824,,,,
25,1.59391,0.9,,,,
26,2.55929,0.46667,,,,
27,1.75876,0.69643,,,,
28,0.57063,0.77778,,,,
29,3.53391,0.5625,,,,
30,1.29397,0.76923,,,,
31,0.65688,0.9,,,,
32,1.05624,0.8,,,,
33,2.38154,0.53125,,,,
34,1.70134,0.66667,,,,
35,2.28722,0.5,,,,
36,1.61663,0.65385,,,,
37,1.60887,0.67647,,,,
38,3.65439,0.46667,,,,
39,0.6564,0.83333,,,,
40,4.75641,0.28571,,,,
41,1.35298,0.68293,,,,
42,1.55086,0.66667,,,,
43,1.84468,0.6,,,,
44,1.54453,0.6087,,,,
45,3.84035,0.42857,,,,
46,3.33032,0.23077,,,,
47,1.65199,0.63158,,,,
48,2.90025,0.5625,,,,
49,1.5984,0.66667,,,,
50,0.87255,0.78571,,,,
51,1.73739,0.66667,,,,
52,0.75229,0.83333,,,,
53,1.6918,0.6,,,,
54,0.76671,0.66667,,,,
55,1.42953,0.77778,,,,
56,0.32267,0.92857,,,,
57,2.59056,0.46154,,,,
58,1.48823,0.64286,,,,
59,1.55577,0.63415,,,,
60,1.23609,0.6875,,,,
61,1.24648,0.71429,,,,
62,1.89408,0.47619,,,,
63,0.07344,1,,,,
64,0.99967,0.78571,,,,
65,1.4695,0.57143,,,,
66,1.1817,0.76923,,,,
67,0.92067,0.78788,,,,
68,0.98987,0.8,,,,
69,0.53884,0.89474,,,,
70,0.35887,0.9,,,,
71,1.22029,0.68966,,,,
72,0.85635,0.84444,,,,
73,1.2219,0.76471,,,,
74,0.65413,0.85714,,,,
75,0.55941,0.86667,,,,
76,1.60916,0.64706,,,,
77,0.87001,0.84444,,,,
78,1.6906,0.57895,,,,
79,1.16606,0.64286,,,,
80,0.45228,0.8125,,,,
81,1.03161,0.74074,,,,
82,1.04301,0.78571,,,,
83,1.08629,0.65217,,,,
84,0.9488,0.78788,,,,
85,1.56147,0.61111,,,,
86,1.00157,0.775,,,,
87,0.92691,0.8,,,,
88,1.73091,0.59701,,,,
89,1.35197,0.53333,,,,
90,1.81868,0.47368,,,,
91,1.11073,0.77193,,,,
92,0.81026,0.86667,,,,
93,2.06335,0.52459,,,,
94,1.7292,0.57143,,,,
95,0.3726,0.88889,,,,
96,0.84265,0.73333,,,,
97,1.79646,0.61111,,,,
98,0.57433,0.81818,,,,
99,1.13019,0.81818,,,,
100,0.69554,0.88571,,,,
101,0.29471,0.90476,,,,
102,1.13806,0.80645,,,,
103,1.01467,0.71429,,,,
104,0.42979,0.92857,,,,
105,0.32143,0.83333,,,,
106,0.69751,0.83333,,,,
107,1.08348,0.77273,,,,
108,1.44487,0.65625,,,,
109,0.79695,0.66667,,,,
110,2.08609,0.46667,,,,
111,0.18781,1,,,,
112,0.98093,0.78571,,,,
113,0.28828,0.95238,,,,
114,1.72771,0.58929,,,,
115,1.21742,0.66667,,,,
116,0.87377,0.66667,,,,
117,1.1604,0.75,,,,
118,1.25636,0.76316,,,,
119,0.26971,0.91667,,,,
120,1.4852,0.64615,,,,
121,1.4296,0.64286,,,,
122,1.74788,0.67742,,,,
123,0.74791,0.82143,,,,
124,1.2913,0.66667,,,,
125,0.97869,0.82,,,,
126,1.54369,0.67568,,,,
127,1.18108,0.65,,,,
128,0.85456,0.73333,,,,
129,0.62965,0.875,,,,
130,0.56844,0.85714,,,,
131,0.63378,0.83333,,,,
132,0.90852,0.77778,,,,
133,0.93213,0.80645,,,,
134,0.70909,0.82051,,,,
135,1.75869,0.52941,,,,
136,1.34669,0.63492,,,,
137,0.68004,0.875,,,,
138,1.09023,0.63158,,,,
139,1.6863,0.6,,,,
140,0.44565,0.90909,,,,
141,1.35714,0.59016,,,,
142,1.10637,0.65574,,,,
143,0.53074,0.76923,,,,
144,1.8815,0.52941,,,,
145,0.59844,0.84211,,,,
146,1.66875,0.56,,,,
147,0.84535,0.84848,,,,
148,1.30608,0.67857,,,,
149,1.11933,0.72414,,,,
150,0.93318,0.8,,,,
151,1.80371,0.46667,,,,
152,0.65711,0.82353,,,,
153,0.98404,0.8,,,,
154,0.9109,0.8125,,,,
155,1.31572,0.72414,,,,
156,0.469,0.86486,,,,
157,0.95545,0.76923,,,,
158,0.89357,0.6,,,,
159,1.3272,0.58824,,,,
160,0.63767,0.8,,,,
161,0.89645,0.83871,,,,
162,0.81284,0.86667,,,,
163,1.1329,0.66667,,,,
164,1.1549,0.66667,,,,
165,0.59804,0.85714,,,,
166,1.14913,0.72,,,,
167,0.4163,0.90625,,,,
168,0.16946,0.94118,,,,
169,0.50384,0.94118,,,,
170,1.18681,0.73913,,,,
171,0.55906,0.875,,,,
172,1.19368,0.57143,,,,
173,1.46703,0.65,,,,
174,0.7241,0.86667,,,,
175,0.15819,0.93333,,,,
176,0.73004,0.85,,,,
177,0.48216,0.85,,,,
178,0.62391,0.84211,,,,
179,0.43778,0.86667,,,,
180,0.8339,0.73333,,,,
181,0.52621,0.89474,,,,
182,1.05273,0.61538,,,,
183,1.11066,0.65517,,,,
184,1.62065,0.54167,,,,
185,0.4549,0.83333,,,,
186,1.29105,0.69767,,,,
187,0.38362,0.84211,,,,
188,0.42456,0.94118,,,,
189,0.41991,0.91429,,,,
190,0.4442,0.89189,,,,
191,0.55546,0.85714,,,,
192,1.2778,0.64286,,,,
193,1.12479,0.69231,,,,
194,0.40223,0.87179,,,,
195,0.66686,0.8125,,,,
196,0.77986,0.73333,,,,
197,0.20749,0.91667,,,,
198,0.40657,0.875,,,,
199,0.38147,0.86486,,,,
200,0.68782,0.86667,,,,
201,1.31296,0.83333,,,,
202,1.65936,0.67647,,,,
203,0.62514,0.84615,,,,
204,0.4336,0.83333,,,,
205,0.27385,0.94444,,,,
206,0.3043,0.94118,,,,
207,0.44451,0.76923,,,,
208,0.80395,0.82143,,,,
209,0.33103,0.93333,,,,
210,0.61439,0.86667,,,,
211,0.51386,0.875,,,,
212,1.20841,0.73684,,,,
213,0.54001,0.85714,,,,
214,0.37794,0.86667,,,,
215,0.57897,0.90909,,,,
216,1.20946,0.675,,,,
217,0.51959,0.93333,,,,
218,0.93369,0.67213,,,,
219,1.29038,0.68627,,,,
220,0.46736,0.93333,,,,
221,1.07407,0.76744,,,,
222,0.60397,0.86842,,,,
223,0.8545,0.75,,,,
224,1.30849,0.64706,,,,
225,1.04871,0.71795,,,,
226,0.82172,0.78571,,,,
227,0.46064,0.875,,,,
228,0.85404,0.61905,,,,
229,0.50323,0.8125,,,,
230,0.35575,0.91429,,,,
231,0.43151,0.89744,,,,
232,1.53521,0.64179,,,,
233,1.39598,0.60714,,,,
234,0.8692,0.64286,,,,
235,0.41548,0.88889,,,,
236,0.16521,0.95,,,,
237,0.39461,0.87879,,,,
238,0.71895,0.77778,,,,
239,0.40526,0.86667,,,,
240,1.05032,0.75862,,,,
241,1.22236,0.65625,,,,
242,0.32641,0.91176,,,,
243,0.51518,0.73333,,,,
244,0.29868,0.88235,,,,
245,0.97945,0.8,,,,
246,0.38294,0.81818,,,,
247,0.6591,0.8,,,,
248,0.30009,0.86667,,,,
249,1.22248,0.53846,,,,
250,1.03601,0.78261,,,,
251,1.52169,0.5,,,,
252,1.34876,0.625,,,,
253,0.90207,0.73684,,,,
254,0.17273,0.92857,,,,
255,1.00075,0.46667,,,,
256,0.3329,0.8125,,,,
257,0.36874,0.94118,,,,
258,0.69197,0.81481,,,,
259,0.97824,0.78571,,,,
