 step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,1.41413,0.7619,,,,
2,2.08261,0.73684,,,,
3,1.9753,0.71429,,,,
4,2.277,0.68571,,,,
5,1.94606,0.56757,,,,
6,2.64229,0.6875,,,,
7,1.1187,0.79167,,,,
8,0.99569,0.79167,,,,
9,0.45109,0.82353,,,,
10,1.39505,0.7,,,,
11,1.87781,0.61538,,,,
12,2.32104,0.54054,,,,
13,1.66085,0.74419,,,,
14,1.39228,0.74074,,,,
15,1.76433,0.53704,,,,
16,2.80332,0.6,,,,
17,2.21925,0.56,,,,
18,2.12726,0.72222,,,,
19,1.89071,0.60811,,,,
20,1.06824,0.71429,,,,
21,0.51963,0.89009,,,,
22,2.84532,0.66667,,,,
23,0.8853,0.7037,,,,
24,1.9221,0.625,,,,
25,1.11885,0.76,,,,
26,1.09241,0.82759,,,,
27,1.75242,0.54386,,,,
28,0.59127,0.82759,,,,
29,1.12136,0.68595,,,,
30,0.94431,0.84,,,,
31,1.521,0.67089,,,,
32,0.94772,0.79167,,,,
33,1.25341,0.76,,,,
34,1.29894,0.64912,,,,
35,2.79025,0.5,,,,
36,0.73596,0.82609,,,,
37,0.72639,0.83333,,,,
38,0.77597,0.69231,,,,
39,0.52977,0.88235,,,,
40,0.71189,0.74359,,,,
41,1.07955,0.76923,,,,
42,0.16953,0.92593,,,,
43,0.83558,0.82353,,,,
44,0.93938,0.72549,,,,
45,1.75149,0.59783,,,,
46,0.51747,0.7931,,,,
47,1.06692,0.7,,,,
48,0.85737,0.85,,,,
49,1.25715,0.66667,,,,
50,0.87076,0.8125,,,,
51,0.07465,1,,,,
52,1.32006,0.59574,,,,
53,0.8284,0.66667,,,,
54,0.37545,0.92308,,,,
55,0.90951,0.83333,,,,
56,1.31075,0.68,,,,
57,0.26848,0.96429,,,,
58,0.55769,0.88235,,,,
59,2.21702,0.5,,,,
60,1.18005,0.66667,,,,
61,0.46353,0.84848,,,,
62,0.74517,0.7907,,,,
63,1.18399,0.67816,,,,
64,0.19884,0.92308,,,,
65,1.26181,0.71429,,,,
66,1.12193,0.78049,,,,
67,0.22218,0.96296,,,,
68,0.47538,0.8,,,,
69,0.9241,0.76786,,,,
70,0.40311,0.86667,,,,
71,0.17276,0.96,,,,
72,2.08419,0.70968,,,,
73,0.13755,1,,,,
74,2.06032,0.58108,,,,
75,0.11387,0.96296,,,,
76,1.03486,0.66667,,,,
77,1.11214,0.61404,,,,
78,0.88833,0.76923,,,,
79,0.78314,0.78261,,,,
80,1.26315,0.63636,,,,
81,1.08413,0.8125,,,,
82,1.58683,0.63636,,,,
83,0.1113,0.96429,,,,
84,1.23271,0.6875,,,,
85,1.1941,0.78261,,,,
86,1.09423,0.77778,,,,
87,0.6773,0.84615,,,,
88,0.90145,0.8,,,,
89,1.18873,0.80952,,,,
90,1.72556,0.65116,,,,
91,1.21249,0.64286,,,,
92,0.64665,0.71429,,,,
93,1.11496,0.71429,,,,
94,1.09183,0.72414,,,,
95,0.11069,0.96552,,,,
96,0.49417,0.73333,,,,
97,2.27202,0.47059,,,,
98,1.68726,0.60714,,,,
99,0.29775,0.96154,,,,
100,0.49561,0.9,,,,
101,1.34787,0.8,,,,
102,1.07227,0.65455,,,,
103,0.6548,0.875,,,,
104,0.82198,0.82759,,,,
105,0.1332,0.96296,,,,
106,2.54755,0.55556,,,,
107,1.1041,0.71264,,,,
108,0.22652,0.875,,,,
109,0.63238,0.79545,,,,
110,2.02133,0.55,,,,
111,0.62418,0.77273,,,,
112,0.06738,1,,,,
113,1.19769,0.85714,,,,
114,0.59331,0.88235,,,,
115,0.95537,0.65957,,,,
116,1.19416,0.76471,,,,
117,1.57765,0.58889,,,,
118,0.76182,0.93333,,,,
119,0.51697,0.86957,,,,
120,1.63812,0.52632,,,,
121,0.40992,0.94118,,,,
122,0.03605,1,,,,
123,1.31337,0.69231,,,,
124,1.37458,0.76667,,,,
125,2.28212,0.5,,,,
126,1.05652,0.75,,,,
127,0.34149,0.90244,,,,
128,1.14264,0.73333,,,,
129,0.13028,0.96296,,,,
130,0.25346,0.95833,,,,
131,1.87363,0.7,,,,
132,1.47437,0.65094,,,,
133,1.28882,0.6129,,,,
134,1.55545,0.54878,,,,
135,2.14856,0.51429,,,,
136,0.33656,0.9375,,,,
137,1.42179,0.70833,,,,
138,0.05761,1,,,,
139,0.74323,0.79167,,,,
140,0.04353,1,,,,
141,0.43302,0.84444,,,,
142,0.045,1,,,,
143,1.5318,0.61905,,,,
144,1.54308,0.62025,,,,
145,1.05795,0.67273,,,,
146,1.73845,0.6383,,,,
147,0.07673,1,,,,
148,0.05652,1,,,,
149,1.71108,0.68966,,,,
150,1.67306,0.57895,,,,
151,0.16584,0.96154,,,,
152,2.54133,0.44118,,,,
153,1.99068,0.63043,,,,
154,0.19761,0.88462,,,,
155,0.14131,0.96296,,,,
156,1.10646,0.68831,,,,
157,0.0578,1,,,,
158,1.08954,0.73333,,,,
159,0.56438,0.76471,,,,
160,1.01081,0.68571,,,,
161,1.73615,0.56897,,,,
162,1.6043,0.8,,,,
163,1.76685,0.63636,,,,
164,0.70251,0.80435,,,,
165,1.48421,0.65385,,,,
166,0.20934,0.9375,,,,
167,0.60253,0.86667,,,,
168,1.1714,0.7619,,,,
169,0.10111,0.96552,,,,
170,0.85791,0.78161,,,,
171,1.05884,0.78261,,,,
172,0.38952,0.88889,,,,
173,1.73809,0.61538,,,,
174,0.03187,1,,,,
175,0.20894,0.92857,,,,
176,2.4816,0.54545,,,,
177,1.22697,0.7027,,,,
178,1.85756,0.6,,,,
179,0.0422,1,,,,
180,1.18893,0.65,,,,
181,0.74157,0.81818,,,,
182,0.6669,0.78947,,,,
183,1.29688,0.61905,,,,
184,0.11708,0.96154,,,,
185,1.43183,0.60526,,,,
186,0.06725,0.96429,,,,
187,0.21034,0.91667,,,,
188,0.09521,0.93333,,,,
189,0.07754,0.96296,,,,
190,0.06514,0.96429,,,,
191,0.54859,0.83333,,,,
192,0.63215,0.875,,,,
193,0.51502,0.9375,,,,
194,0.06329,0.92308,,,,
195,1.49891,0.63043,,,,
196,0.7908,0.79167,,,,
197,0.72982,0.90476,,,,
198,0.49887,0.82143,,,,
199,1.26699,0.725,,,,
200,1.21221,0.7,,,,
201,1.84945,0.55556,,,,
202,1.26308,0.7,,,,
203,0.55277,0.82979,,,,
204,0.79241,0.83333,,,,
205,1.12122,0.78261,,,,
206,0.53549,0.75,,,,
207,0.24258,0.95238,,,,
208,1.6221,0.59231,,,,
209,0.44381,0.875,,,,
210,0.42354,0.84211,,,,
211,0.56658,0.88889,,,,
212,0.05776,0.96154,,,,
213,0.75261,0.76471,,,,
214,0.23709,0.91667,,,,
215,0.45923,0.90909,,,,
216,0.1821,0.95455,,,,
217,0.20192,0.9375,,,,
218,1.26451,0.64912,,,,
219,0.82008,0.78571,,,,
220,0.38993,0.88372,,,,
221,0.07189,0.96296,,,,
222,0.99446,0.67797,,,,
223,0.03625,1,,,,
224,1.22712,0.64151,,,,
225,0.75643,0.875,,,,
226,0.73097,0.82857,,,,
227,0.63626,0.76471,,,,
228,1.28474,0.63934,,,,
229,1.27026,0.71333,,,,
230,0.94474,0.70833,,,,
231,1.8514,0.67308,,,,
232,0.0524,0.96296,,,,
233,1.35078,0.61905,,,,
234,0.94972,0.69697,,,,
235,0.02266,1,,,,
236,0.55993,0.8,,,,
237,0.31662,0.96552,,,,
238,1.13974,0.66667,,,,
239,0.69066,0.82927,,,,
240,0.04204,1,,,,
241,0.10981,0.96,,,,
242,1.1832,0.70833,,,,
243,1.07023,0.76471,,,,
244,0.23875,0.93333,,,,
245,0.72404,0.79545,,,,
246,0.76804,0.775,,,,
247,1.17418,0.7551,,,,
248,0.86031,0.77778,,,,
249,0.97082,0.7,,,,
250,1.55369,0.74074,,,,
251,0.43944,0.95,,,,
252,1.50242,0.63107,,,,
253,0.13486,0.92308,,,,
254,0.65505,0.82143,,,,
255,0.04384,1,,,,
256,1.57314,0.6,,,,
257,0.35911,0.85106,,,,
258,1.20959,0.65957,,,,
259,1.37363,0.71429,,,,
260,1.2635,0.59664,,,,
261,0.00789,1,,,,
262,0.18513,0.92593,,,,
263,0.65241,0.81818,,,,
264,1.06456,0.77778,,,,
265,0.48712,0.79592,,,,
266,0.97726,0.78261,,,,
267,0.07055,1,,,,
268,1.56455,0.61486,,,,
269,0.8336,0.75,,,,
270,0.3544,0.85714,,,,
271,0.86199,0.82857,,,,
272,0.2623,0.89286,,,,
273,2.12532,0.5,,,,
274,1.33292,0.70833,,,,
275,1.29932,0.57895,,,,
276,1.58591,0.65,,,,
277,0.54636,0.85714,,,,
278,1.03956,0.68085,,,,
279,0.09728,1,,,,
280,0.0174,1,,,,
281,1.15754,0.74684,,,,
282,1.42789,0.65385,,,,
283,0.01429,1,,,,
284,1.16566,0.67742,,,,
285,0.00651,1,,,,
286,0.03181,1,,,,
287,1.77378,0.60714,,,,
288,0.74492,0.76596,,,,
289,1.64032,0.60317,,,,
290,0.85042,0.72857,,,,
291,0.00626,1,,,,
292,0.0504,1,,,,
293,1.69486,0.5,,,,
294,1.45445,0.72414,,,,
295,0.03668,1,,,,
296,1.21452,0.77143,,,,
297,0.89058,0.71212,,,,
298,0.44718,0.9375,,,,
299,0.94386,0.82609,,,,
300,0.11114,0.96429,,,,
