step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,0.61699,0.82353,,,,
2,0.70547,0.88235,,,,
3,0.45683,0.90476,,,,
4,2.21076,0.7037,,,,
5,1.42303,0.76744,,,,
6,0.51018,0.875,,,,
7,2.61055,0.6875,,,,
8,0.42252,0.8,,,,
9,0.72588,0.77193,,,,
10,1.76533,0.68966,,,,
11,2.4296,0.72727,,,,
12,0.54037,0.96154,,,,
13,0.05348,0.97778,,,,
14,1.75915,0.72297,,,,
15,2.28675,0.78571,,,,
16,0.27062,0.96429,,,,
17,0.45657,0.89286,,,,
18,0.02236,1.0,,,,
19,0.2626,0.85,,,,
20,0.06549,0.95,,,,
21,0.75573,0.88235,,,,
22,0.77313,0.83333,,,,
23,0.05304,0.96,,,,
24,0.54875,0.78947,,,,
25,0.64331,0.87143,,,,
26,0.28822,0.93103,,,,
27,0.96469,0.79167,,,,
28,0.39615,0.88235,,,,
29,0.59734,0.81034,,,,
30,0.86225,0.81481,,,,
31,1.21558,0.725,,,,
32,0.03755,1.0,,,,
33,0.44844,0.90909,,,,
34,0.1667,0.92857,,,,
35,0.0077,1.0,,,,
36,0.14145,0.95455,,,,
37,0.28068,0.92222,,,,
38,0.15421,0.90909,,,,
39,0.38722,0.87143,,,,
40,0.49703,0.89009,,,,
41,0.35061,0.88889,,,,
42,0.65762,0.81481,,,,
43,0.17889,0.93333,,,,
44,0.13385,0.95238,,,,
45,0.26457,0.85714,,,,
46,0.5376,0.85185,,,,
47,0.0589,0.9375,,,,
48,1.3258,0.77586,,,,
49,0.68099,0.85294,,,,
50,0.00371,1.0,,,,
51,0.0495,1.0,,,,
52,0.01771,1.0,,,,
53,1.36455,0.80952,,,,
54,0.84189,0.86111,,,,
55,0.4122,0.85185,,,,
56,0.33327,0.89286,,,,
57,0.20673,0.91111,,,,
58,0.02104,1.0,,,,
59,0.00546,1.0,,,,
60,1.12189,0.80769,,,,
61,0.16525,0.93333,,,,
62,0.27377,0.89655,,,,
63,0.2373,0.88889,,,,
64,0.54094,0.86777,,,,
65,0.74671,0.84615,,,,
66,0.50656,0.91398,,,,
67,0.32135,0.92667,,,,
68,0.92342,0.7561,,,,
69,0.14848,0.94737,,,,
70,0.00341,1.0,,,,
71,0.02334,0.97826,,,,
72,1.03002,0.7907,,,,
73,0.00174,1.0,,,,
74,0.09576,0.92308,,,,
75,0.21344,0.95918,,,,
76,0.01258,1.0,,,,
77,0.36403,0.95652,,,,
78,1.04572,0.79545,,,,
79,0.02758,1.0,,,,
80,0.19019,0.92308,,,,
81,0.39053,0.87234,,,,
82,0.2043,0.91429,,,,
83,0.01102,1.0,,,,
84,0.44996,0.84848,,,,
85,0.57649,0.75,,,,
86,0.35182,0.88,,,,
87,0.04075,1.0,,,,
88,1.13294,0.75,,,,
89,0.30524,0.90625,,,,
90,0.19128,0.96667,,,,
91,0.01875,1.0,,,,
92,0.38564,0.9,,,,
93,0.55279,0.87692,,,,
94,0.00532,1.0,,,,
95,0.00244,1.0,,,,
96,0.00342,1.0,,,,
97,0.06881,0.97087,,,,
98,0.00085,1.0,,,,
99,0.00714,1.0,,,,
100,0.25616,0.97143,,,,
101,0.0003,1.0,,,,
102,0.31912,0.95,,,,
103,0.00011,1.0,,,,
104,0.0357,1.0,,,,
105,0.97818,0.76087,,,,
106,0.08922,0.97368,,,,
107,0.03489,1.0,,,,
108,0.93701,0.82979,,,,
109,0.91507,0.82857,,,,
110,0.00481,1.0,,,,
111,0.83081,0.80435,,,,
112,0.27175,0.92593,,,,
113,0.92646,0.78431,,,,
114,0.97533,0.81818,,,,
115,0.2508,0.93333,,,,
116,0.56261,0.89873,,,,
117,0.44679,0.87805,,,,
118,0.0034,1.0,,,,
119,0.04114,0.96296,,,,
